Round,Total profit,Profit per km
332,13643362,69.3937276204427
333,13710720,69.5297983691022
334,13763560,69.52205845211998
335,13857241,69.91579674973133
336,13893584,69.7448068833268
337,13960942,69.87808198608539
338,13957712,69.63675188089964
339,14005273,69.57758954741915
340,14076004,69.74257288384169
341,14108681,69.54028636912537
342,14130433,69.23594377018095
343,14129688,69.18178613396005
344,14128108,69.06718942490076
345,14204192,69.28164431936241
346,14203447,69.22769898133255
347,14274178,69.3904855426138
348,14272233,69.25007642032635
349,14271488,69.196351,13877044,66.86604187245524
352,13901069,66.60470988452877
353,13898129,66.40354422880296
354,13930806,66.22521927218274
355,13961943,66.03483372983403
356,14032674,66.20091427600946
357,14119683,66.51223579399587
358,14172523,66.51611919143564
359,14239368,66.64498736310026
360,14263393,66.39231503246678
361,14260453,66.1974487403852
362,14258873,66.0931634984866
363,14311713,66.09849852901104
364,14379071,66.23095276479123
365,14410721,66.05089927398063
366,14441858,65.86816204037326
367,14438903,65.67765016261457
368,14475246,65.54274355677104
369,14545757,65.70107004286496
370,14544177,65.60030039375938
371,14542597,65.49981758810945
372,14575274,65.33594821635094
373,14572319,65.15010305222356
374,14569989,65.00425628739309
375,14656998,65.30038537791539
376,14733082,65.50365463275831
377,14732337,65.45697985950974
378,14765014,65.29551665885391
379,14796151,65.12275752187462
380,14870622,65.31053928350264
381,14945093,65.49751948040564
382,14943148,65.3775391898218
383,15024804,65.62310662310662
384,15072365,65.58620164483703
385,15119926,65.5495699372247
386,15190657,65.70296537227186
387,15277666,65.98910667853039
388,15316135,65.87698282981212
389,15377774,65.95430566397036
390,15464783,66.23770955224137
391,15558464,66.57479920752763
392,15557339,66.50595492553137
393,15595808,66.39282764727419
394,15594828,66.33330781206135
395,15647668,66.33740885195863
396,15723752,66.52881169476824
397,15774466,66.51514614852671
398,15826940,66.51567812459287
399,15858077,66.34595704979897
400,15928808,66.49221277430613
401,15961485,66.33592529175117
402,15994162,66.18100491159542
403,15992582,66.08805358921273
404,16079591,66.36095416933205
405,16150322,66.50519883216728
406,16197883,66.46730571160089
407,16245444,66.42967724523719
408,16277094,66.26887656643135
409,16344159,66.38300231509687
410,16431168,66.65085224276547
411,16507252,66.83341498273217
412,16557966,66.81933963406269
413,16608680,66.80535611573006
414,16707934,67.16433378088293
415,16706354,67.07278041416745
416,16800035,67.38801779360858
417,16798910,67.32274534320797
418,16846471,67.28307546069605
419,16844526,67.17094879391955
420,16843781,67.12809261916149
421,16914292,67.2640767355574
422,16950635,67.13973652106405
423,17046442,67.46684133869486
